Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
173,0.542,0.542,0.542,0.7454,0.7454,0.7454,0.6922,0.6922,0.6922,0.6181,0.6181,0.6181
174,0.6231,0.6231,0.6231,0.7085,0.7085,0.7085,0.6848,0.6848,0.6848,0.6225,0.6225,0.6225
175,0.4995,0.4995,0.4995,0.7274,0.7274,0.7274,0.6833,0.6833,0.6833,0.5656,0.5656,0.5656
176,0.5822,0.5822,0.5822,0.7262,0.7262,0.7262,0.6561,0.6561,0.6561,0.5765,0.5765,0.5765
177,0.6254,0.6254,0.6254,0.7699,0.7699,0.7699,0.6991,0.6991,0.6991,0.5755,0.5755,0.5755
178,0.6768,0.6768,0.6768,0.7512,0.7512,0.7512,0.7191,0.7191,0.7191,0.591,0.591,0.591
179,0.6911,0.6911,0.6911,0.7775,0.7775,0.7775,0.6841,0.6841,0.6841,0.6093,0.6093,0.6093
180,0.6261,0.6261,0.6261,0.7731,0.7731,0.7731,0.675,0.675,0.675,0.6649,0.6649,0.6649
181,0.653,0.653,0.653,0.7554,0.7554,0.7554,0.6955,0.6955,0.6955,0.5147,0.5147,0.5147
182,0.5914,0.5914,0.5914,0.7651,0.7651,0.7651,0.7047,0.7047,0.7047,0.5956,0.5956,0.5956
183,0.5773,0.5773,0.5773,0.7503,0.7503,0.7503,0.6672,0.6672,0.6672,0.6577,0.6577,0.6577
184,0.5398,0.5398,0.5398,0.7426,0.7426,0.7426,0.672,0.672,0.672,0.6385,0.6385,0.6385
185,0.5272,0.5272,0.5272,0.7821,0.7821,0.7821,0.6717,0.6717,0.6717,0.5742,0.5742,0.5742
186,0.6176,0.6176,0.6176,0.7686,0.7686,0.7686,0.7044,0.7044,0.7044,0.6503,0.6503,0.6503
187,0.6273,0.6273,0.6273,0.7474,0.7474,0.7474,0.6544,0.6544,0.6544,0.619,0.619,0.619
